match_id,Season,total_runs
392,IPL-2013,312
393,IPL-2013,293
394,IPL-2013,229
395,IPL-2013,325
396,IPL-2013,331
397,IPL-2013,312
398,IPL-2013,250
399,IPL-2013,294
400,IPL-2013,310
401,IPL-2013,330
402,IPL-2013,227
403,IPL-2013,271
404,IPL-2013,252
405,IPL-2013,250
406,IPL-2013,243
407,IPL-2013,240
408,IPL-2013,326
409,IPL-2013,371
410,IPL-2013,371
411,IPL-2013,396
412,IPL-2013,335
413,IPL-2013,321
414,IPL-2013,319
415,IPL-2013,299
416,IPL-2013,290
417,IPL-2013,330
418,IPL-2013,386
419,IPL-2013,313
420,IPL-2013,344
421,IPL-2013,344
422,IPL-2013,291
423,IPL-2013,259
424,IPL-2013,273
425,IPL-2013,357
426,IPL-2013,357
427,IPL-2013,265
428,IPL-2013,161
429,IPL-2013,350
430,IPL-2013,218
431,IPL-2013,360
432,IPL-2013,323
433,IPL-2013,309
434,IPL-2013,275
435,IPL-2013,369
436,IPL-2013,292
437,IPL-2013,258
438,IPL-2013,362
439,IPL-2013,228
440,IPL-2013,270
441,IPL-2013,231
442,IPL-2013,285
443,IPL-2013,241
444,IPL-2013,362
445,IPL-2013,333
446,IPL-2013,303
447,IPL-2013,318
448,IPL-2013,384
449,IPL-2013,249
450,IPL-2013,316
451,IPL-2013,306
452,IPL-2013,188
453,IPL-2013,262
454,IPL-2013,336
455,IPL-2013,267
456,IPL-2013,334
457,IPL-2013,273
458,IPL-2014,285
459,IPL-2014,291
460,IPL-2014,411
461,IPL-2014,268
462,IPL-2014,231
463,IPL-2014,333
464,IPL-2014,384
465,IPL-2014,261
466,IPL-2014,314
467,IPL-2014,273
468,IPL-2014,298
469,IPL-2014,364
470,IPL-2014,283
471,IPL-2014,141
472,IPL-2014,241
473,IPL-2014,251
474,IPL-2014,291
475,IPL-2014,251
476,IPL-2014,326
477,IPL-2014,329
478,IPL-2014,262
479,IPL-2014,338
